"student_id","nom","departement","Code_ue","intitulé_matière","enseignant","note"
593330,"Amah Kouma","Informatique et Systèmes","GL200","Conception logicielle","Dr. K. Agbeko",9.22
897834,"Koffi Komlan","Génie Logiciel","ME101","Mécanique générale","Dr. M. Kpante",2.38
783090,"Amah Mensah","Systèmes Réseaux","ME101","Mécanique générale","Pr. G. Komlan",12.67
452447,"Afi Kpante","SCOM","SC120","Théorie des Signaux","Dr. M. Kpante",10.17
368552,"Elom Amegah","Génie civil","SC120","Théorie des Signaux","Dr. S. Amouzou",0.61
707515,"Yao Amegah","Génie électrique","RS180","Réseaux avancés","Pr. L. Mensah",18.79
354906,"Komi Doe","SCOM","CI150","Calcul scientifique","Pr. D. Tchalla",0.69
317943,"Yao Amegah","Génie civil","CI150","Calcul scientifique","Dr. K. Agbeko",9.88
778744,"Komi Amegah","Génie Logiciel","SC120","Théorie des Signaux","Pr. G. Komlan",15.47
234159,"Komi Agbeko","Génie électrique","SC120","Théorie des Signaux","Pr. G. Komlan",17.24
460577,"Yao Tchalla","Génie électrique","EL201","Électrotechnique","Pr. D. Tchalla",3.54
824001,"Eyram Lawson","Systèmes Réseaux","GL200","Conception logicielle","Pr. L. Mensah",15.9
217058,"Kossi Agbeko","Systèmes Réseaux","CI150","Calcul scientifique","Pr. G. Komlan",17.88
501085,"Senam Tchalla","Informatique et Systèmes","RS180","Réseaux avancés","Dr. Y. Amegah",0.83
329939,"Kossi Kpante","Systèmes Réseaux","ME101","Mécanique générale","Dr. S. Amouzou",18.06
644750,"Akoua Amouzou","Génie mécanique","SC120","Théorie des Signaux","Pr. D. Tchalla",3.12
719687,"Komi Kouma","SCOM","AI310","Machine Learning","Pr. L. Mensah",10.91
466365,"Komi Mensah","Génie civil","CI150","Calcul scientifique","Pr. L. Mensah",0.65
450371,"Komi Amouzou","Génie Logiciel","CI150","Calcul scientifique","Pr. D. Tchalla",6.36
299549,"Akoua Amouzou","Génie civil","CI150","Calcul scientifique","Dr. K. Agbeko",8.16
304019,"Eyram Kpante","Génie civil","AI310","Machine Learning","Pr. D. Tchalla",10.17
944207,"Koffi Komlan","Génie Logiciel","CS220","Programmation avancée","Dr. K. Agbeko",11.54
766519,"Abla Lawson","Systèmes Réseaux","RS180","Réseaux avancés","Pr. L. Mensah",6.02
177998,"Amah Amegah","SCOM","SC120","Théorie des Signaux","Dr. K. Agbeko",18.33
284040,"Elom Agbeko","Génie mécanique","ME101","Mécanique générale","Pr. G. Komlan",13.83
843738,"Kossi Kpante","Informatique et Systèmes","RS180","Réseaux avancés","Dr. M. Kpante",4.84
270957,"Eyram Komlan","SCOM","ME101","Mécanique générale","Dr. M. Kpante",3.09
435726,"Abla Amouzou","Génie électrique","EL201","Électrotechnique","Pr. T. Lawson",10.99
213804,"Senam Doe","Génie civil","GL200","Conception logicielle","Dr. S. Amouzou",16.47
350000,"Yao Kpante","SCOM","RS180","Réseaux avancés","Dr. Y. Amegah",19.92
595087,"Eyram Amouzou","Génie électrique","RS180","Réseaux avancés","Dr. K. Agbeko",18.56
663152,"Komi Doe","IA & Big Data","EL201","Électrotechnique","Dr. Y. Amegah",7.04
511318,"Amah Kpante","Génie Logiciel","CI150","Calcul scientifique","Pr. T. Lawson",0.53
513471,"Yao Kpante","Génie civil","CS220","Programmation avancée","Dr. S. Amouzou",9.17
948878,"Akoua Doe","Génie civil","CI150","Calcul scientifique","Pr. D. Tchalla",1.71
732562,"Akoua Mensah","Génie Logiciel","RS180","Réseaux avancés","Dr. Y. Amegah",17.37
278485,"Elom Agbeko","Génie mécanique","CS220","Programmation avancée","Pr. L. Mensah",9.53
106207,"Yao Mensah","SCOM","CI150","Calcul scientifique","Dr. M. Kpante",6.95
867424,"Komi Doe","IA & Big Data","GL200","Conception logicielle","Pr. D. Tchalla",12.75
334059,"Koffi Kpante","Informatique et Systèmes","ME101","Mécanique générale","Dr. M. Kpante",16.49
532467,"Koffi Amouzou","Génie civil","CI150","Calcul scientifique","Dr. Y. Amegah",1.4
917086,"Abla Doe","Systèmes Réseaux","GL200","Conception logicielle","Dr. M. Kpante",3.99
273274,"Elom Amegah","Génie civil","RS180","Réseaux avancés","Pr. L. Mensah",9.16
674986,"Komi Mensah","Systèmes Réseaux","EL201","Électrotechnique","Pr. G. Komlan",16.4
576836,"Yao Tchalla","Génie Logiciel","AI310","Machine Learning","Dr. Y. Amegah",2.76
396176,"Amah Amouzou","Systèmes Réseaux","SC120","Théorie des Signaux","Dr. M. Kpante",1.16
450770,"Afi Lawson","Informatique et Systèmes","EL201","Électrotechnique","Pr. G. Komlan",1.26
947007,"Kossi Doe","Génie civil","GL200","Conception logicielle","Dr. S. Amouzou",9.69
618746,"Koffi Doe","IA & Big Data","CI150","Calcul scientifique","Dr. K. Agbeko",4.1
200432,"Senam Doe","Systèmes Réseaux","GL200","Conception logicielle","Pr. G. Komlan",14.03
579037,"Amah Amegah","Génie électrique","GL200","Conception logicielle","Pr. T. Lawson",0.76
410177,"Abla Tchalla","Systèmes Réseaux","CI150","Calcul scientifique","Dr. S. Amouzou",11.65
306112,"Afi Komlan","Génie civil","RS180","Réseaux avancés","Dr. S. Amouzou",10.17
789351,"Eyram Mensah","SCOM","CS220","Programmation avancée","Pr. G. Komlan",9.04
857849,"Kossi Lawson","Systèmes Réseaux","AI310","Machine Learning","Dr. S. Amouzou",2.0
124176,"Amah Doe","Génie civil","AI310","Machine Learning","Pr. L. Mensah",4.91
880152,"Elom Kpante","Génie civil","RS180","Réseaux avancés","Pr. G. Komlan",1.92
433196,"Afi Kpante","IA & Big Data","CS220","Programmation avancée","Dr. S. Amouzou",6.28
514132,"Koffi Komlan","Génie mécanique","EL201","Électrotechnique","Dr. K. Agbeko",5.58
474408,"Komi Doe","IA & Big Data","CS220","Programmation avancée","Dr. Y. Amegah",10.2
332297,"Akoua Amegah","Génie Logiciel","RS180","Réseaux avancés","Dr. S. Amouzou",7.88
584442,"Senam Kpante","SCOM","RS180","Réseaux avancés","Pr. G. Komlan",6.8
978338,"Amah Kpante","Informatique et Systèmes","SC120","Théorie des Signaux","Dr. S. Amouzou",9.94
188887,"Senam Amouzou","IA & Big Data","AI310","Machine Learning","Pr. L. Mensah",4.08
728748,"Amah Doe","IA & Big Data","RS180","Réseaux avancés","Pr. G. Komlan",19.22
554015,"Koffi Komlan","SCOM","RS180","Réseaux avancés","Pr. D. Tchalla",19.29
762883,"Amah Doe","Génie civil","CI150","Calcul scientifique","Dr. K. Agbeko",16.45
656590,"Senam Amouzou","IA & Big Data","EL201","Électrotechnique","Dr. M. Kpante",10.35
605271,"Senam Amegah","Génie électrique","GL200","Conception logicielle","Dr. M. Kpante",6.87
689946,"Afi Tchalla","IA & Big Data","SC120","Théorie des Signaux","Pr. L. Mensah",13.71
131633,"Koffi Doe","Génie civil","AI310","Machine Learning","Pr. T. Lawson",9.94
581834,"Eyram Lawson","Génie mécanique","CS220","Programmation avancée","Dr. Y. Amegah",10.86
580328,"Senam Amegah","Génie Logiciel","AI310","Machine Learning","Dr. Y. Amegah",12.76
659540,"Abla Komlan","Systèmes Réseaux","ME101","Mécanique générale","Pr. T. Lawson",13.92
443186,"Mawuli Amouzou","SCOM","EL201","Électrotechnique","Dr. K. Agbeko",0.91
828331,"Koffi Doe","Systèmes Réseaux","ME101","Mécanique générale","Dr. M. Kpante",3.59
774860,"Amah Agbeko","IA & Big Data","GL200","Conception logicielle","Dr. Y. Amegah",7.35
799440,"Senam Komlan","Génie mécanique","SC120","Théorie des Signaux","Dr. M. Kpante",16.36
180692,"Elom Mensah","Systèmes Réseaux","ME101","Mécanique générale","Pr. D. Tchalla",7.21
593009,"Koffi Amegah","Systèmes Réseaux","SC120","Théorie des Signaux","Dr. M. Kpante",11.77
963503,"Kossi Mensah","Génie mécanique","EL201","Électrotechnique","Pr. D. Tchalla",10.81
483255,"Koffi Komlan","Systèmes Réseaux","GL200","Conception logicielle","Dr. S. Amouzou",6.04
860705,"Akoua Agbeko","Génie Logiciel","RS180","Réseaux avancés","Pr. G. Komlan",2.11
333317,"Eyram Kpante","IA & Big Data","RS180","Réseaux avancés","Pr. G. Komlan",13.81
435544,"Akoua Kouma","Génie civil","SC120","Théorie des Signaux","Dr. S. Amouzou",4.11
327387,"Afi Komlan","Génie électrique","ME101","Mécanique générale","Dr. M. Kpante",0.56
847829,"Abla Mensah","Génie Logiciel","SC120","Théorie des Signaux","Pr. G. Komlan",7.15
181169,"Akoua Komlan","Génie civil","CS220","Programmation avancée","Dr. K. Agbeko",19.12
813203,"Eyram Lawson","Génie électrique","AI310","Machine Learning","Dr. M. Kpante",8.13
922051,"Elom Kpante","Systèmes Réseaux","CI150","Calcul scientifique","Pr. D. Tchalla",7.69
979175,"Koffi Agbeko","Informatique et Systèmes","EL201","Électrotechnique","Pr. D. Tchalla",12.33
309481,"Koffi Komlan","Génie civil","AI310","Machine Learning","Dr. K. Agbeko",17.62
936554,"Yao Amouzou","Génie mécanique","RS180","Réseaux avancés","Dr. K. Agbeko",6.75
497149,"Koffi Amegah","Génie mécanique","EL201","Électrotechnique","Dr. Y. Amegah",7.88
893422,"Eyram Amouzou","SCOM","RS180","Réseaux avancés","Dr. S. Amouzou",10.53
736331,"Abla Agbeko","Génie Logiciel","CI150","Calcul scientifique","Pr. T. Lawson",6.33
436803,"Amah Lawson","Génie civil","GL200","Conception logicielle","Dr. S. Amouzou",4.26
764770,"Abla Tchalla","SCOM","ME101","Mécanique générale","Pr. T. Lawson",8.71
592818,"Elom Komlan","Génie mécanique","ME101","Mécanique générale","Dr. Y. Amegah",15.67
533400,"Amah Kpante","Informatique et Systèmes","ME101","Mécanique générale","Pr. L. Mensah",14.8
271612,"Komi Amouzou","SCOM","EL201","Électrotechnique","Pr. D. Tchalla",0.93
541080,"Abla Amouzou","Génie électrique","RS180","Réseaux avancés","Dr. S. Amouzou",7.71
438654,"Komi Kpante","IA & Big Data","EL201","Électrotechnique","Dr. K. Agbeko",4.43
499868,"Afi Mensah","IA & Big Data","EL201","Électrotechnique","Dr. S. Amouzou",1.03
903802,"Afi Agbeko","Informatique et Systèmes","CS220","Programmation avancée","Dr. K. Agbeko",2.7
851195,"Koffi Amouzou","Génie Logiciel","AI310","Machine Learning","Dr. M. Kpante",14.37
459563,"Amah Mensah","Informatique et Systèmes","AI310","Machine Learning","Pr. G. Komlan",4.32
828620,"Eyram Komlan","Génie Logiciel","GL200","Conception logicielle","Dr. Y. Amegah",11.28
978248,"Abla Mensah","IA & Big Data","RS180","Réseaux avancés","Pr. T. Lawson",16.59
495151,"Elom Kouma","Systèmes Réseaux","ME101","Mécanique générale","Dr. S. Amouzou",15.15
327267,"Abla Mensah","SCOM","SC120","Théorie des Signaux","Pr. T. Lawson",6.76
525275,"Akoua Amegah","Génie civil","RS180","Réseaux avancés","Dr. M. Kpante",6.68
519138,"Mawuli Amouzou","Génie mécanique","CS220","Programmation avancée","Dr. S. Amouzou",19.22
959228,"Afi Agbeko","IA & Big Data","GL200","Conception logicielle","Dr. M. Kpante",2.49
596835,"Yao Amouzou","Génie électrique","RS180","Réseaux avancés","Pr. L. Mensah",2.08
560667,"Afi Agbeko","Informatique et Systèmes","AI310","Machine Learning","Pr. T. Lawson",12.04
489858,"Kossi Agbeko","Génie électrique","GL200","Conception logicielle","Pr. T. Lawson",12.51
363660,"Eyram Agbeko","SCOM","RS180","Réseaux avancés","Dr. Y. Amegah",5.95
389084,"Kossi Amegah","Génie civil","AI310","Machine Learning","Pr. T. Lawson",0.71
755888,"Akoua Lawson","IA & Big Data","SC120","Théorie des Signaux","Dr. S. Amouzou",7.74
595610,"Amah Kpante","Informatique et Systèmes","CI150","Calcul scientifique","Dr. M. Kpante",10.66
404897,"Afi Tchalla","Génie mécanique","EL201","Électrotechnique","Dr. S. Amouzou",7.09
729011,"Komi Mensah","Génie Logiciel","CS220","Programmation avancée","Pr. T. Lawson",2.57
878778,"Komi Komlan","SCOM","RS180","Réseaux avancés","Pr. G. Komlan",1.63
127792,"Afi Tchalla","SCOM","CI150","Calcul scientifique","Dr. K. Agbeko",14.07
573910,"Akoua Kouma","SCOM","EL201","Électrotechnique","Pr. G. Komlan",4.88
163512,"Koffi Amegah","IA & Big Data","AI310","Machine Learning","Dr. S. Amouzou",16.88
382964,"Amah Komlan","IA & Big Data","GL200","Conception logicielle","Pr. G. Komlan",14.21
780143,"Elom Amouzou","Génie civil","CS220","Programmation avancée","Pr. L. Mensah",14.95
520093,"Koffi Mensah","Informatique et Systèmes","SC120","Théorie des Signaux","Pr. D. Tchalla",16.42
406689,"Yao Amouzou","Génie civil","GL200","Conception logicielle","Pr. D. Tchalla",0.97
734852,"Elom Amouzou","Systèmes Réseaux","CS220","Programmation avancée","Dr. S. Amouzou",17.49
451274,"Yao Amouzou","Génie électrique","CI150","Calcul scientifique","Dr. S. Amouzou",5.43
390064,"Senam Doe","Génie électrique","CI150","Calcul scientifique","Pr. T. Lawson",11.44
556507,"Mawuli Amouzou","SCOM","SC120","Théorie des Signaux","Pr. T. Lawson",14.46
230252,"Eyram Agbeko","SCOM","CI150","Calcul scientifique","Dr. K. Agbeko",1.34
361156,"Yao Kouma","Informatique et Systèmes","EL201","Électrotechnique","Pr. L. Mensah",6.38
927790,"Elom Kouma","Génie civil","SC120","Théorie des Signaux","Pr. G. Komlan",15.17
137208,"Senam Komlan","Génie civil","RS180","Réseaux avancés","Pr. T. Lawson",9.6
735483,"Elom Komlan","Systèmes Réseaux","ME101","Mécanique générale","Dr. K. Agbeko",16.93
541575,"Komi Lawson","IA & Big Data","EL201","Électrotechnique","Pr. T. Lawson",14.29
902391,"Koffi Amouzou","Génie mécanique","GL200","Conception logicielle","Pr. L. Mensah",18.78
130143,"Abla Amegah","Informatique et Systèmes","GL200","Conception logicielle","Pr. G. Komlan",10.76
752819,"Mawuli Komlan","SCOM","RS180","Réseaux avancés","Dr. K. Agbeko",18.49
130569,"Komi Agbeko","Génie civil","RS180","Réseaux avancés","Dr. Y. Amegah",17.7
347142,"Akoua Komlan","Informatique et Systèmes","ME101","Mécanique générale","Dr. Y. Amegah",2.07
860102,"Kossi Tchalla","Génie mécanique","CS220","Programmation avancée","Pr. T. Lawson",11.33
477029,"Senam Komlan","Génie mécanique","RS180","Réseaux avancés","Dr. S. Amouzou",15.46
866205,"Senam Kpante","Systèmes Réseaux","EL201","Électrotechnique","Pr. T. Lawson",17.35
750830,"Afi Komlan","Informatique et Systèmes","SC120","Théorie des Signaux","Dr. M. Kpante",16.08
896240,"Afi Amegah","IA & Big Data","ME101","Mécanique générale","Pr. L. Mensah",11.31
518893,"Mawuli Amegah","Génie Logiciel","GL200","Conception logicielle","Pr. D. Tchalla",16.91
453884,"Koffi Komlan","Systèmes Réseaux","RS180","Réseaux avancés","Pr. D. Tchalla",5.28
844401,"Afi Kouma","Génie civil","EL201","Électrotechnique","Pr. G. Komlan",9.21
574801,"Senam Kouma","Génie civil","ME101","Mécanique générale","Pr. G. Komlan",18.02
981700,"Amah Komlan","Génie Logiciel","GL200","Conception logicielle","Dr. S. Amouzou",8.94
344217,"Afi Kouma","Informatique et Systèmes","ME101","Mécanique générale","Dr. K. Agbeko",18.51
747763,"Afi Amegah","Génie électrique","ME101","Mécanique générale","Pr. T. Lawson",8.95
313781,"Elom Mensah","SCOM","CS220","Programmation avancée","Dr. Y. Amegah",0.34
907016,"Eyram Amegah","Génie Logiciel","CI150","Calcul scientifique","Dr. K. Agbeko",9.71
223735,"Mawuli Doe","Systèmes Réseaux","CS220","Programmation avancée","Dr. M. Kpante",9.78
536707,"Koffi Mensah","Génie civil","SC120","Théorie des Signaux","Dr. M. Kpante",17.89
161820,"Afi Kpante","SCOM","GL200","Conception logicielle","Pr. L. Mensah",18.35
198387,"Koffi Kouma","SCOM","CS220","Programmation avancée","Pr. T. Lawson",18.76
222292,"Akoua Lawson","SCOM","ME101","Mécanique générale","Pr. L. Mensah",0.44
349116,"Senam Lawson","Systèmes Réseaux","SC120","Théorie des Signaux","Pr. L. Mensah",11.06
368270,"Senam Doe","IA & Big Data","SC120","Théorie des Signaux","Pr. L. Mensah",11.56
831225,"Abla Mensah","Génie Logiciel","CI150","Calcul scientifique","Pr. T. Lawson",2.03
626297,"Amah Kpante","Systèmes Réseaux","AI310","Machine Learning","Dr. M. Kpante",14.74
612296,"Komi Tchalla","Génie mécanique","EL201","Électrotechnique","Dr. K. Agbeko",11.65
679583,"Amah Kpante","Génie mécanique","GL200","Conception logicielle","Dr. S. Amouzou",16.98
271083,"Afi Agbeko","Informatique et Systèmes","GL200","Conception logicielle","Dr. M. Kpante",11.18
242119,"Amah Kouma","IA & Big Data","ME101","Mécanique générale","Pr. D. Tchalla",2.89
159259,"Eyram Agbeko","SCOM","SC120","Théorie des Signaux","Dr. S. Amouzou",2.1
786343,"Abla Tchalla","Génie civil","EL201","Électrotechnique","Dr. K. Agbeko",10.03
698628,"Komi Agbeko","Génie civil","CI150","Calcul scientifique","Dr. M. Kpante",14.23
551984,"Kossi Tchalla","Systèmes Réseaux","GL200","Conception logicielle","Dr. S. Amouzou",12.86
588546,"Kossi Mensah","Génie électrique","RS180","Réseaux avancés","Dr. Y. Amegah",13.88
798098,"Kossi Kpante","Génie mécanique","AI310","Machine Learning","Dr. M. Kpante",8.81
727713,"Kossi Tchalla","Systèmes Réseaux","CI150","Calcul scientifique","Pr. G. Komlan",6.51
686571,"Amah Kouma","SCOM","SC120","Théorie des Signaux","Dr. Y. Amegah",0.8
924648,"Senam Mensah","IA & Big Data","AI310","Machine Learning","Dr. Y. Amegah",12.26
926472,"Komi Amegah","Génie mécanique","SC120","Théorie des Signaux","Pr. G. Komlan",13.78
739636,"Eyram Lawson","SCOM","CS220","Programmation avancée","Pr. G. Komlan",19.79
168444,"Eyram Amegah","Systèmes Réseaux","SC120","Théorie des Signaux","Dr. S. Amouzou",19.64
369863,"Amah Kpante","Informatique et Systèmes","CS220","Programmation avancée","Pr. T. Lawson",0.7
934354,"Amah Amouzou","Génie électrique","GL200","Conception logicielle","Dr. Y. Amegah",17.56
881922,"Amah Agbeko","Génie mécanique","EL201","Électrotechnique","Dr. K. Agbeko",14.6
810094,"Kossi Kpante","SCOM","AI310","Machine Learning","Pr. L. Mensah",9.9
718873,"Komi Kouma","Génie électrique","EL201","Électrotechnique","Dr. K. Agbeko",5.06
119574,"Amah Kouma","Systèmes Réseaux","CI150","Calcul scientifique","Dr. K. Agbeko",7.69
145000,"Akoua Tchalla","Génie Logiciel","AI310","Machine Learning","Dr. M. Kpante",11.13
211432,"Yao Kpante","Systèmes Réseaux","EL201","Électrotechnique","Dr. S. Amouzou",0.33
405010,"Kossi Mensah","SCOM","ME101","Mécanique générale","Dr. S. Amouzou",18.72
152116,"Koffi Kouma","Génie Logiciel","AI310","Machine Learning","Dr. S. Amouzou",12.75
845518,"Afi Kouma","SCOM","CS220","Programmation avancée","Pr. T. Lawson",15.69
897828,"Komi Amegah","Systèmes Réseaux","CS220","Programmation avancée","Dr. K. Agbeko",16.72
975592,"Eyram Doe","Systèmes Réseaux","EL201","Électrotechnique","Pr. T. Lawson",19.72
938070,"Elom Doe","Génie électrique","RS180","Réseaux avancés","Dr. Y. Amegah",16.49
969985,"Abla Amegah","IA & Big Data","GL200","Conception logicielle","Pr. L. Mensah",9.71
240395,"Eyram Amouzou","SCOM","ME101","Mécanique générale","Pr. D. Tchalla",1.24
562450,"Mawuli Tchalla","IA & Big Data","GL200","Conception logicielle","Dr. Y. Amegah",15.0
641841,"Koffi Kouma","Systèmes Réseaux","SC120","Théorie des Signaux","Pr. T. Lawson",0.89
178349,"Eyram Amouzou","Génie Logiciel","RS180","Réseaux avancés","Pr. G. Komlan",3.18
250465,"Senam Agbeko","Systèmes Réseaux","SC120","Théorie des Signaux","Dr. M. Kpante",5.11
105817,"Koffi Tchalla","Génie mécanique","EL201","Électrotechnique","Pr. L. Mensah",3.65
985520,"Afi Tchalla","Génie électrique","SC120","Théorie des Signaux","Pr. D. Tchalla",9.3
600002,"Abla Agbeko","Génie Logiciel","AI310","Machine Learning","Pr. T. Lawson",19.62
966377,"Koffi Doe","Systèmes Réseaux","GL200","Conception logicielle","Pr. L. Mensah",3.12
211868,"Senam Amouzou","Génie électrique","CI150","Calcul scientifique","Dr. Y. Amegah",19.11
211013,"Mawuli Lawson","Génie mécanique","SC120","Théorie des Signaux","Dr. S. Amouzou",6.56
419737,"Kossi Agbeko","IA & Big Data","EL201","Électrotechnique","Pr. T. Lawson",4.62
786897,"Eyram Kouma","Informatique et Systèmes","CI150","Calcul scientifique","Dr. Y. Amegah",3.58
443172,"Abla Lawson","Génie civil","SC120","Théorie des Signaux","Pr. L. Mensah",13.66
295005,"Abla Amegah","Informatique et Systèmes","EL201","Électrotechnique","Pr. D. Tchalla",1.74
190501,"Amah Kouma","Génie mécanique","GL200","Conception logicielle","Dr. Y. Amegah",16.1
978761,"Komi Lawson","Génie mécanique","GL200","Conception logicielle","Dr. Y. Amegah",4.96
946418,"Kossi Kouma","Systèmes Réseaux","CS220","Programmation avancée","Dr. S. Amouzou",10.24
110545,"Elom Komlan","Informatique et Systèmes","ME101","Mécanique générale","Pr. T. Lawson",14.8
513230,"Mawuli Mensah","Informatique et Systèmes","SC120","Théorie des Signaux","Dr. K. Agbeko",0.66
851937,"Yao Kouma","Génie civil","AI310","Machine Learning","Dr. S. Amouzou",11.21
701907,"Senam Kouma","Systèmes Réseaux","CS220","Programmation avancée","Pr. L. Mensah",6.77
